time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,26.6,25.2,28.7,,,55.0,9.1,,1012.2,,82280,-2.5333,-44.3,51.0
2024-01-01,26.2,24.0,29.0,24.8,,61.0,10.6,,1011.8,,82281,-2.6,-44.2333,53.0
2024-01-01,28.0,22.8,31.0,15.2,,34.0,9.7,,1012.0,,82288,-2.9167,-41.75,5.0
2024-01-01,27.7,25.0,32.0,2.2,,139.0,6.7,,1010.6,,82317,-3.3667,-64.6833,47.0
2024-01-01,27.8,25.0,32.0,3.3,,110.0,3.8,,1010.8,,82332,-3.15,-59.9833,84.0
2024-01-01,27.8,25.3,30.2,3.0,,99.0,6.4,,1010.5,,82336,-3.1333,-58.4333,40.0
2024-01-01,28.2,24.0,33.0,3.9,,75.0,8.3,,1011.6,,82353,-3.2,-52.2,74.0
2024-01-01,25.8,23.2,29.0,5.7,,24.0,9.5,,1012.1,,82361,-3.7167,-49.7167,40.0
2024-01-01,27.3,25.3,30.7,,,7.0,6.8,,1012.4,,82397,-3.7667,-38.6,26.0
2024-01-01,26.7,24.0,28.0,14.9,,30.0,7.2,,1012.0,,82398,-3.7833,-38.5333,25.0
2024-01-01,27.3,25.0,31.0,1.7,,92.0,8.0,,1012.6,,82400,-3.85,-32.4167,56.0
2024-01-01,26.7,24.0,32.5,6.8,,61.0,5.7,,1010.7,,82410,-4.3833,-70.0333,65.0
2024-01-01,26.1,24.0,30.0,7.2,,96.0,6.0,,1010.7,,82411,-3.6667,-69.6667,85.0
2024-01-01,29.3,25.8,33.8,,,125.0,9.6,,1010.8,,82425,-4.9167,-63.0833,46.0
2024-01-01,26.8,24.3,32.0,1.2,,145.0,7.0,,1010.6,,82444,-4.25,-56.0,34.0
2024-01-01,26.7,22.8,31.6,2.9,,118.0,5.2,,1011.3,,82445,-4.2667,-55.5833,45.0
2024-01-01,25.2,23.5,28.5,18.8,,312.0,4.8,,1012.2,,82460,-4.25,-44.7833,25.0
